,className,classStanding,isTransfer,major,gpa,age,gender,exerciseHrs,gymVisits,mentalHealth,timeToSleep,hrsSleep,energyLevels,caffeineFreq,caffeineType,caffeineIntake,units
88,CS105,Senior,0,CSBA major,3.34 - 3.66,20 - 22,Male,More than 5+ hours,5 - 6 times,4,0 - 15 minutes,6 - 7 hours,3,Once per day,"Tea, pre-workout",12-24 oz (1 - 2 cups),12
89,CS111,Junior,0,CS major,3.00 - 3.33,18 - 20,Female,2 - 3 hours,1 - 2 times,4,15 - 30 minutes,8 - 9 hours,4,Once per day,Coffee,Less than 12 oz (about 1 cup),22
90,CS105,Junior,0,Other,3.67 - 4.0,18 - 20,Male,0 -1 hours,"0, I don't go to the gym",3,0 - 15 minutes,6 - 7 hours,3,I don't consume them at all,None,0 oz,14
91,CS105,Senior,0,Data Science major,3.34 - 3.66,20 - 22,Female,2 - 3 hours,"0, I don't go to the gym",4,15 - 30 minutes,6 - 7 hours,4,I don't consume them at all,Coffee,Less than 12 oz (about 1 cup),16
92,CS105,Senior,1,CS major,3.67 - 4.0,24 - 26,Male,2 - 3 hours,1 - 2 times,4,0 - 15 minutes,7 - 8 hours,4,I don't consume them at all,None,0 oz,16
93,CS105,Junior,0,Other,3.00 - 3.33,20 - 22,Male,4 - 5 hours,3 - 4 times,4,45 - 60 minutes,7 - 8 hours,3,Multiple times per week,Coffee,12-24 oz (1 - 2 cups),14
94,CS10C,Junior,1,CS major,Prefer not to say,20 - 22,Male,2 - 3 hours,"0, I don't go to the gym",4,15 - 30 minutes,4 - 5 hours,4,I don't consume them at all,None,0 oz,17
95,CS10C,Sophomore,0,CSBA major,3.34 - 3.66,18 - 20,Male,0 -1 hours,3 - 4 times,3,15 - 30 minutes,6 - 7 hours,3,Once per week,Coffee,Less than 12 oz (about 1 cup),17
96,CS10C,Sophomore,0,CSBA major,3.34 - 3.66,18 - 20,Female,2 - 3 hours,1 - 2 times,2,30 - 45 minutes,5 - 6 hours,3,every once in a while,Energy drink,Less than 12 oz (about 1 cup),16
97,CS10C,Junior,1,CS major,3.67 - 4.0,20 - 22,Male,0 -1 hours,1 - 2 times,4,15 - 30 minutes,6 - 7 hours,4,I don't consume them at all,None,0 oz,13
98,CS105,Junior,0,Other,3.34 - 3.66,20 - 22,Prefer not to say,0 -1 hours,"0, I don't go to the gym",2,0 - 15 minutes,5 - 6 hours,3,Occasionally ,Tea,Less than 12 oz (about 1 cup),17
99,CS105,Junior,1,Data Science major,3.67 - 4.0,26+,Male,2 - 3 hours,3 - 4 times,5,15 - 30 minutes,7 - 8 hours,5,Multiple times per week,"Tea, Energy drink",12-24 oz (1 - 2 cups),13
100,CS105,Senior,0,Other,3.00 - 3.33,20 - 22,Male,4 - 5 hours,3 - 4 times,4,30 - 45 minutes,7 - 8 hours,4,I don't consume them at all,Energy drink,0 oz,12
101,CS111,Junior,0,Mathematics major,Prefer not to say,18 - 20,Male,Prefer not to say,More than 6 times,2,45 - 60 minutes,7 - 8 hours,5,I don't consume them at all,None,0 oz,13
102,CS105,Senior,0,CS major,3.67 - 4.0,20 - 22,Male,0 -1 hours,"0, I don't go to the gym",2,60+ minutes,6 - 7 hours,3,Once per week,Tea,Less than 12 oz (about 1 cup),12
103,CS10C,Sophomore,0,Data Science major,3.67 - 4.0,18 - 20,Male,4 - 5 hours,3 - 4 times,2,30 - 45 minutes,8 - 9 hours,3,Once per week,"Tea, Coffee, Energy drink",12-24 oz (1 - 2 cups),14
104,CS105,Senior,0,Other,3.67 - 4.0,20 - 22,Male,2 - 3 hours,1 - 2 times,4,15 - 30 minutes,7 - 8 hours,3,A few times a month,"Tea, Coffee",Less than 12 oz (about 1 cup),13
105,CS105,Senior,0,CS major,2.50 - 2.99,20 - 22,Male,More than 5+ hours,5 - 6 times,4,0 - 15 minutes,7 - 8 hours,4,Multiple times per week,Coffee,12-24 oz (1 - 2 cups),16
106,CS10C,Sophomore,0,Data Science major,3.67 - 4.0,18 - 20,Male,2 - 3 hours,3 - 4 times,3,0 - 15 minutes,7 - 8 hours,2,I don't consume them at all,None,0 oz,16.5
107,CS111,Junior,0,Data Science major,3.34 - 3.66,18 - 20,Male,4 - 5 hours,1 - 2 times,3,0 - 15 minutes,6 - 7 hours,2,Multiple times per week,"Coffee, Energy drink",12-24 oz (1 - 2 cups),16
108,CS105,Senior,0,CSBA major,3.67 - 4.0,20 - 22,Male,2 - 3 hours,1 - 2 times,2,0 - 15 minutes,7 - 8 hours,4,I don't consume them at all,None,0 oz,16
109,CS105,Senior,1,CS major,3.34 - 3.66,22 - 24,Male,4 - 5 hours,3 - 4 times,4,15 - 30 minutes,6 - 7 hours,3,Twice a week,"Tea, Coffee, Energy drink",12-24 oz (1 - 2 cups),12
110,CS105,Senior,0,CS major,3.34 - 3.66,20 - 22,Male,4 - 5 hours,5 - 6 times,4,15 - 30 minutes,5 - 6 hours,3,Multiple times per week,Energy drink,Less than 12 oz (about 1 cup),16
111,CS10C,Sophomore,0,CS major,2.00 - 2.49,18 - 20,Male,2 - 3 hours,1 - 2 times,1,15 - 30 minutes,6 - 7 hours,3,I don't consume them at all,None,0 oz,16
112,CS10C,Junior,0,CS major,2.50 - 2.99,18 - 20,Male,0 -1 hours,"0, I don't go to the gym",2,15 - 30 minutes,7 - 8 hours,3,Once per week,Coffee,Less than 12 oz (about 1 cup),16
113,CS111,Junior,0,CEN or EE major,3.34 - 3.66,20 - 22,Male,0 -1 hours,"0, I don't go to the gym",2,0 - 15 minutes,6 - 7 hours,4,I don't consume them at all,"Tea, Matcha",0 oz,12
114,CS10C,Junior,1,CS major,3.34 - 3.66,20 - 22,Male,0 -1 hours,"0, I don't go to the gym",1,30 - 45 minutes,5 - 6 hours,3,Once per month,Coffee,0 oz,12
115,CS111,Junior,0,CEN or EE major,2.50 - 2.99,20 - 22,Male,0 -1 hours,"0, I don't go to the gym",3,15 - 30 minutes,5 - 6 hours,3,Once per week,Coffee,12-24 oz (1 - 2 cups),13
116,CS111,Junior,0,CEN or EE major,3.00 - 3.33,20 - 22,Female,0 -1 hours,"0, I don't go to the gym",1,30 - 45 minutes,6 - 7 hours,2,I don't consume them at all,"Tea, Coffee, Energy drink, that is when i do drink it from some reason (btw)",Less than 12 oz (about 1 cup),17.5
117,CS111,Junior,0,CSBA major,3.34 - 3.66,20 - 22,Male,More than 5+ hours,3 - 4 times,3,15 - 30 minutes,5 - 6 hours,3,Once per day,Energy drink,12-24 oz (1 - 2 cups),16
118,CS10C,Sophomore,0,CSBA major,3.34 - 3.66,18 - 20,Male,2 - 3 hours,3 - 4 times,2,15 - 30 minutes,7 - 8 hours,3,Used to but i stopped,"Tea, Coffee, Energy drink",0 oz,12
119,CS111,Senior,0,CS major,2.50 - 2.99,20 - 22,Male,4 - 5 hours,5 - 6 times,2,15 - 30 minutes,4 - 5 hours,1,Once per week,"Coffee, Energy drink",Less than 12 oz (about 1 cup),12
120,CS10C,Sophomore,0,Data Science major,3.67 - 4.0,18 - 20,Male,More than 5+ hours,3 - 4 times,4,15 - 30 minutes,6 - 7 hours,3,Once per week,Energy drink,12-24 oz (1 - 2 cups),17
121,CS10C,Sophomore,0,Data Science major,2.50 - 2.99,18 - 20,Male,2 - 3 hours,5 - 6 times,3,15 - 30 minutes,6 - 7 hours,2,Once per week,"Tea, Energy drink",Less than 12 oz (about 1 cup),16
122,CS105,Senior,0,Other,3.67 - 4.0,20 - 22,Female,0 -1 hours,"0, I don't go to the gym",1,60+ minutes,0 - 3 hours,1,Once per day,"Tea, Coffee, Energy drink",25-48 oz (2 - 4 cups),15
123,CS10C,Sophomore,0,Mathematics major,3.00 - 3.33,18 - 20,Female,0 -1 hours,"0, I don't go to the gym",2,30 - 45 minutes,6 - 7 hours,2,Once per week,Tea,12-24 oz (1 - 2 cups),17
124,CS111,Junior,0,CS major,3.34 - 3.66,20 - 22,Male,0 -1 hours,"0, I don't go to the gym",2,30 - 45 minutes,4 - 5 hours,3,Once per day,"Coffee, Energy drink",12-24 oz (1 - 2 cups),18
125,CS10C,Sophomore,0,CS major,2.00 - 2.49,26+,Male,4 - 5 hours,3 - 4 times,4,30 - 45 minutes,5 - 6 hours,3,Once per day,"Coffee, Energy drink",25-48 oz (2 - 4 cups),12
126,CS111,Sophomore,0,Other,3.34 - 3.66,18 - 20,Transfem,0 -1 hours,"0, I don't go to the gym",1,60+ minutes,6 - 7 hours,4,Multiple times per week,Tea,25-48 oz (2 - 4 cups),13
127,CS10C,Junior,1,CS major,3.00 - 3.33,22 - 24,Male,More than 5+ hours,5 - 6 times,3,15 - 30 minutes,5 - 6 hours,2,Once per day,"Tea, Energy drink",Less than 12 oz (about 1 cup),13
128,"CS111, CS10C",Junior,0,Other,Prefer not to say,20 - 22,Male,More than 5+ hours,3 - 4 times,1,15 - 30 minutes,5 - 6 hours,1,I don't consume them at all,None,0 oz,13
129,CS105,Graduate,0,CS major,3.34 - 3.66,24 - 26,Male,0 -1 hours,"0, I don't go to the gym",3,60+ minutes,7 - 8 hours,3,Once per week,Tea,Less than 12 oz (about 1 cup),12
130,CS105,Junior,0,Other,3.67 - 4.0,20 - 22,Male,4 - 5 hours,3 - 4 times,3,15 - 30 minutes,4 - 5 hours,3,Multiple times per week,"Tea, Coffee, Energy drink",25-48 oz (2 - 4 cups),17
131,CS111,Junior,0,CS major,3.00 - 3.33,20 - 22,Female,2 - 3 hours,1 - 2 times,3,0 - 15 minutes,5 - 6 hours,3,Once per day,"Tea, Coffee",25-48 oz (2 - 4 cups),14
132,CS111,Junior,0,Data Science major,2.50 - 2.99,20 - 22,Male,Prefer not to say,"0, I don't go to the gym",3,15 - 30 minutes,7 - 8 hours,3,Once per week,"Coffee, Energy drink",0 oz,13
133,CS111,Junior,0,CS major,3.67 - 4.0,18 - 20,Male,More than 5+ hours,3 - 4 times,4,30 - 45 minutes,6 - 7 hours,3,Multiple times per week,Coffee,More than 72 oz (over 6 cups),14
134,CS111,Junior,0,CS major,3.67 - 4.0,20 - 22,Male,4 - 5 hours,3 - 4 times,2,30 - 45 minutes,6 - 7 hours,2,Once per week,"Tea, Coffee",Less than 12 oz (about 1 cup),16
135,CS10C,Sophomore,1,CS major,3.00 - 3.33,18 - 20,Female,4 - 5 hours,"0, I don't go to the gym",2,45 - 60 minutes,6 - 7 hours,2,Once per day,Coffee,Less than 12 oz (about 1 cup),13
136,CS111,Junior,0,CEN or EE major,3.00 - 3.33,20 - 22,Female,2 - 3 hours,3 - 4 times,2,45 - 60 minutes,5 - 6 hours,2,Once per day,Coffee,25-48 oz (2 - 4 cups),16
137,CS111,Junior,1,CS major,3.67 - 4.0,20 - 22,Male,More than 5+ hours,"0, I don't go to the gym",3,15 - 30 minutes,6 - 7 hours,2,Once a month,Energy drink,0 oz,12
138,CS105,Junior,1,CS major,Prefer not to say,20 - 22,Male,2 - 3 hours,1 - 2 times,2,15 - 30 minutes,5 - 6 hours,3,Multiple times per week,"Coffee, Energy drink",Less than 12 oz (about 1 cup),18
139,CS10C,Junior,1,CEN or EE major,3.67 - 4.0,26+,Female,2 - 3 hours,3 - 4 times,1,60+ minutes,4 - 5 hours,1,Once per day,"Coffee, Energy drink",25-48 oz (2 - 4 cups),12
140,CS10C,Sophomore,0,CS major,3.67 - 4.0,18 - 20,Male,More than 5+ hours,3 - 4 times,2,60+ minutes,5 - 6 hours,3,Multiple times per week,Coffee,Less than 12 oz (about 1 cup),12
141,CS111,Senior,0,CSBA major,3.67 - 4.0,20 - 22,Male,0 -1 hours,"0, I don't go to the gym",3,15 - 30 minutes,6 - 7 hours,3,I don't consume them at all,None,0 oz,12
142,CS111,Junior,1,CS major,3.34 - 3.66,20 - 22,Female,0 -1 hours,"0, I don't go to the gym",2,15 - 30 minutes,5 - 6 hours,3,I don't consume them at all,None,0 oz,13
143,CS10C,Junior,0,CSBA major,3.67 - 4.0,18 - 20,Female,2 - 3 hours,1 - 2 times,3,30 - 45 minutes,7 - 8 hours,3,Once per week,Tea,Less than 12 oz (about 1 cup),18
144,CS10C,Sophomore,0,CEN or EE major,3.67 - 4.0,18 - 20,Male,4 - 5 hours,3 - 4 times,3,45 - 60 minutes,5 - 6 hours,2,Once per day,"Tea, Coffee, Energy drink",25-48 oz (2 - 4 cups),17
145,CS10C,Sophomore,0,CSBA major,3.67 - 4.0,18 - 20,Male,2 - 3 hours,"0, I don't go to the gym",2,30 - 45 minutes,7 - 8 hours,3,Multiple times per week,"Tea, Coffee, Energy drink",Less than 12 oz (about 1 cup),16
146,CS10C,Sophomore,0,CS major,3.67 - 4.0,18 - 20,Male,4 - 5 hours,5 - 6 times,4,15 - 30 minutes,5 - 6 hours,3,Once per week,"Tea, Coffee, Energy drink",12-24 oz (1 - 2 cups),12
147,CS10C,Sophomore,0,CSBA major,3.34 - 3.66,18 - 20,Male,More than 5+ hours,5 - 6 times,5,0 - 15 minutes,7 - 8 hours,4,Multiple times per week,"Tea, Coffee",12-24 oz (1 - 2 cups),21
148,CS10C,Senior,1,Data Science major,2.00 - 2.49,22 - 24,Male,More than 5+ hours,3 - 4 times,3,60+ minutes,8 - 9 hours,2,Once per week,Tea,Less than 12 oz (about 1 cup),12
149,CS10C,Junior,0,CS major,3.67 - 4.0,18 - 20,Male,2 - 3 hours,1 - 2 times,4,15 - 30 minutes,6 - 7 hours,3,Once per day,Coffee,12-24 oz (1 - 2 cups),16 units
150,CS10C,Junior,0,Data Science major,2.50 - 2.99,20 - 22,Male,More than 5+ hours,3 - 4 times,2,30 - 45 minutes,6 - 7 hours,3,Once per day,"Coffee, Energy drink",25-48 oz (2 - 4 cups),16
151,CS111,Senior,0,CSBA major,3.00 - 3.33,20 - 22,Male,More than 5+ hours,5 - 6 times,4,45 - 60 minutes,4 - 5 hours,3,Once per week,Energy drink,12-24 oz (1 - 2 cups),16
152,CS10C,Sophomore,0,CS major,3.34 - 3.66,18 - 20,Male,2 - 3 hours,1 - 2 times,2,0 - 15 minutes,6 - 7 hours,2,Multiple times per week,Coffee,Less than 12 oz (about 1 cup),17
153,CS105,Junior,0,CS major,3.67 - 4.0,18 - 20,Male,More than 5+ hours,5 - 6 times,4,15 - 30 minutes,5 - 6 hours,3,A couple of times a quarter,Energy drink,0 oz,17
