,className,classStanding,isTransfer,major,gpa,age,gender,exerciseHrs,gymVisits,mentalHealth,timeToSleep,hrsSleep,energyLevels,caffeineFreq,caffeineType,caffeineIntake,units
72,CS111,Junior,0,CEN or EE major,2.50 - 2.99,20 - 22,Male,0 - 1 hours,1 - 2 times,5,0 - 15 minutes,6 - 7 hours,3,Once per week,"Coffee, Energy drink",0 oz,>15
73,"CS105, CS111",Junior,1,CS major,Less than 2.0,22 - 24,Male,0 - 1 hours,5 - 6 times,1,60+ minutes,5 - 6 hours,3,Multiple times per week,Energy drink,25-48 oz (2 - 4 cups),12-15
74,CS111,Junior,0,CS major,3.67 - 4.0,20 - 22,Female,0 - 1 hours,1 - 2 times,3,0 - 15 minutes,4 - 5 hours,3,Multiple times per week,"Tea, Coffee, Energy drink",Less than 12 oz (about 1 cup),>15
75,CS111,Junior,0,CS major,3.67 - 4.0,18 - 20,Male,2 - 3 hours,"0, I don't go to the gym",2,30 - 45 minutes,7 - 8 hours,2,I don't consume them at all,None,0 oz,12-15
76,CS111,Junior,1,CEN or EE major,3.34 - 3.66,20 - 22,Male,2 - 3 hours,"0, I don't go to the gym",1,30 - 45 minutes,6 - 7 hours,2,Multiple times per week,Coffee,25-48 oz (2 - 4 cups),>15
77,CS105,Senior,0,CS major,Prefer not to say,22 - 24,Male,0 - 1 hours,1 - 2 times,3,15 - 30 minutes,7 - 8 hours,2,Multiple times per week,Tea,Less than 12 oz (about 1 cup),>15
78,CS111,Junior,0,Other,3.67 - 4.0,18 - 20,Male,More than 5+ hours,3 - 4 times,4,0 - 15 minutes,6 - 7 hours,3,Once per day,"Tea, Coffee, Energy drink",12-24 oz (1 - 2 cups),>15
79,"CS105, CS111",Junior,1,Data Science major,Prefer not to say,24 - 26,Male,0 - 1 hours,1 - 2 times,2,60+ minutes,4 - 5 hours,2,,Coffee,Less than 12 oz (about 1 cup),>15
80,CS111,Junior,0,CS major,3.67 - 4.0,18 - 20,Female,0 - 1 hours,"0, I don't go to the gym",4,0 - 15 minutes,5 - 6 hours,3,Multiple times per week,"Tea, Coffee",Less than 12 oz (about 1 cup),>15
81,CS105,Senior,0,CS major,2.50 - 2.99,20 - 22,Male,More than 5+ hours,5 - 6 times,3,15 - 30 minutes,5 - 6 hours,3,Multiple times per week,"Coffee, Energy drink",More than 72 oz (over 6 cups),>15
82,CS105,Senior,0,CS major,3.67 - 4.0,20 - 22,Male,4 - 5 hours,3 - 4 times,4,45 - 60 minutes,6 - 7 hours,4,I don't consume them at all,None,0 oz,12-15
83,CS111,Junior,0,CEN or EE major,3.34 - 3.66,20 - 22,Male,4 - 5 hours,3 - 4 times,3,15 - 30 minutes,6 - 7 hours,2,Once per week,"Tea, Coffee",Less than 12 oz (about 1 cup),>15
84,CS105,Graduate,0,Data Science major,Prefer not to say,20 - 22,Male,Prefer not to say,"0, I don't go to the gym",4,15 - 30 minutes,5 - 6 hours,2,I don't consume them at all,None,12-24 oz (1 - 2 cups),>15
85,CS111,Senior,0,Mathematics major,3.67 - 4.0,20 - 22,Female,0 - 1 hours,1 - 2 times,3,15 - 30 minutes,5 - 6 hours,3,Once per week,"Tea, Coffee",Less than 12 oz (about 1 cup),12-15
86,CS105,Junior,0,Other,3.34 - 3.66,20 - 22,Female,0 - 1 hours,"0, I don't go to the gym",2,0 - 15 minutes,5 - 6 hours,3,Multiple times per week,"Tea, Coffee",12-24 oz (1 - 2 cups),>15
87,CS111,Junior,0,CS major,3.34 - 3.66,20 - 22,Male,More than 5+ hours,5 - 6 times,3,15 - 30 minutes,7 - 8 hours,3,Once per day,Energy drink,Less than 12 oz (about 1 cup),12-15
88,CS105,Senior,0,CSBA major,3.34 - 3.66,20 - 22,Male,More than 5+ hours,5 - 6 times,4,0 - 15 minutes,6 - 7 hours,3,Once per day,"Tea, pre-workout",12-24 oz (1 - 2 cups),12-15
89,CS111,Junior,0,CS major,3.00 - 3.33,18 - 20,Female,2 - 3 hours,1 - 2 times,4,15 - 30 minutes,8 - 9 hours,4,Once per day,Coffee,Less than 12 oz (about 1 cup),>15
90,CS105,Junior,0,Other,3.67 - 4.0,18 - 20,Male,0 - 1 hours,"0, I don't go to the gym",3,0 - 15 minutes,6 - 7 hours,3,I don't consume them at all,None,0 oz,12-15
91,CS105,Senior,0,Data Science major,3.34 - 3.66,20 - 22,Female,2 - 3 hours,"0, I don't go to the gym",4,15 - 30 minutes,6 - 7 hours,4,I don't consume them at all,Coffee,Less than 12 oz (about 1 cup),>15
92,CS105,Senior,1,CS major,3.67 - 4.0,24 - 26,Male,2 - 3 hours,1 - 2 times,4,0 - 15 minutes,7 - 8 hours,4,I don't consume them at all,None,0 oz,>15
93,CS105,Junior,0,Other,3.00 - 3.33,20 - 22,Male,4 - 5 hours,3 - 4 times,4,45 - 60 minutes,7 - 8 hours,3,Multiple times per week,Coffee,12-24 oz (1 - 2 cups),12-15
94,CS10C,Junior,1,CS major,Prefer not to say,20 - 22,Male,2 - 3 hours,"0, I don't go to the gym",4,15 - 30 minutes,4 - 5 hours,4,I don't consume them at all,None,0 oz,>15
95,CS10C,Sophomore,0,CSBA major,3.34 - 3.66,18 - 20,Male,0 - 1 hours,3 - 4 times,3,15 - 30 minutes,6 - 7 hours,3,Once per week,Coffee,Less than 12 oz (about 1 cup),>15
96,CS10C,Sophomore,0,CSBA major,3.34 - 3.66,18 - 20,Female,2 - 3 hours,1 - 2 times,2,30 - 45 minutes,5 - 6 hours,3,,Energy drink,Less than 12 oz (about 1 cup),>15
97,CS10C,Junior,1,CS major,3.67 - 4.0,20 - 22,Male,0 - 1 hours,1 - 2 times,4,15 - 30 minutes,6 - 7 hours,4,I don't consume them at all,None,0 oz,12-15
98,CS105,Junior,0,Other,3.34 - 3.66,20 - 22,Prefer not to say,0 - 1 hours,"0, I don't go to the gym",2,0 - 15 minutes,5 - 6 hours,3,,Tea,Less than 12 oz (about 1 cup),>15
99,CS105,Junior,1,Data Science major,3.67 - 4.0,26+,Male,2 - 3 hours,3 - 4 times,5,15 - 30 minutes,7 - 8 hours,5,Multiple times per week,"Tea, Energy drink",12-24 oz (1 - 2 cups),12-15
100,CS105,Senior,0,Other,3.00 - 3.33,20 - 22,Male,4 - 5 hours,3 - 4 times,4,30 - 45 minutes,7 - 8 hours,4,I don't consume them at all,Energy drink,0 oz,12-15
101,CS111,Junior,0,Mathematics major,Prefer not to say,18 - 20,Male,Prefer not to say,More than 6 times,2,45 - 60 minutes,7 - 8 hours,5,I don't consume them at all,None,0 oz,12-15
102,CS105,Senior,0,CS major,3.67 - 4.0,20 - 22,Male,0 - 1 hours,"0, I don't go to the gym",2,60+ minutes,6 - 7 hours,3,Once per week,Tea,Less than 12 oz (about 1 cup),12-15
103,CS10C,Sophomore,0,Data Science major,3.67 - 4.0,18 - 20,Male,4 - 5 hours,3 - 4 times,2,30 - 45 minutes,8 - 9 hours,3,Once per week,"Tea, Coffee, Energy drink",12-24 oz (1 - 2 cups),12-15
104,CS105,Senior,0,Other,3.67 - 4.0,20 - 22,Male,2 - 3 hours,1 - 2 times,4,15 - 30 minutes,7 - 8 hours,3,,"Tea, Coffee",Less than 12 oz (about 1 cup),12-15
105,CS105,Senior,0,CS major,2.50 - 2.99,20 - 22,Male,More than 5+ hours,5 - 6 times,4,0 - 15 minutes,7 - 8 hours,4,Multiple times per week,Coffee,12-24 oz (1 - 2 cups),>15
106,CS10C,Sophomore,0,Data Science major,3.67 - 4.0,18 - 20,Male,2 - 3 hours,3 - 4 times,3,0 - 15 minutes,7 - 8 hours,2,I don't consume them at all,None,0 oz,12-15
